# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-03-22 05:20:03 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01310521 HUDSON BAY AT FREEPORT NY
# -----------------------------------------------------------------------------------
#
# Data provided for site 01310521
#            TS   parameter     Description
#        106564       62619     Estuary or ocean water surface elevation above NGVD 1929, feet
#        238970       62620     Estuary or ocean water surface elevation above NAVD 1988, feet, NAVD88
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	106564_62619	106564_62619_cd	238970_62620	238970_62620_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	01310521	2022-11-22 00:00	EST	-1.77	A	-2.91	P
USGS	01310521	2022-11-22 00:06	EST	-1.76	A	-2.90	P
USGS	01310521	2022-11-22 00:12	EST	-1.77	A	-2.91	P
USGS	01310521	2022-11-22 00:18	EST	-1.78	A	-2.92	P
USGS	01310521	2022-11-22 00:24	EST	-1.76	A	-2.90	P
USGS	01310521	2022-11-22 00:30	EST	-1.76	A	-2.90	P
USGS	01310521	2022-11-22 00:36	EST	-1.69	A	-2.83	P
USGS	01310521	2022-11-22 00:42	EST	-1.64	A	-2.78	P
USGS	01310521	2022-11-22 00:48	EST	-1.62	A	-2.76	P
USGS	01310521	2022-11-22 00:54	EST	-1.55	A	-2.69	P
USGS	01310521	2022-11-22 01:00	EST	-1.47	A	-2.61	P
USGS	01310521	2022-11-22 01:06	EST	-1.40	A	-2.54	P
USGS	01310521	2022-11-22 01:12	EST	-1.34	A	-2.48	P
USGS	01310521	2022-11-22 01:18	EST	-1.26	A	-2.40	P
USGS	01310521	2022-11-22 01:24	EST	-1.15	A	-2.29	P
USGS	01310521	2022-11-22 01:30	EST	-1.09	A	-2.23	P
