DATE,STATION,LATITUDE,LONGITUDE,PRCP
2019-03-14,US1NYWS0008,43.31163,-73.39613,0.0
2019-03-15,US1NYWS0008,43.31163,-73.39613,2.5
2019-03-16,US1NYWS0008,43.31163,-73.39613,0.0
2019-03-17,US1NYWS0008,43.31163,-73.39613,0.0
2019-03-18,US1NYWS0008,43.31163,-73.39613,0.0
2019-03-19,US1NYWS0008,43.31163,-73.39613,0.0
2019-03-20,US1NYWS0008,43.31163,-73.39613,0.0
2019-03-21,US1NYWS0008,43.31163,-73.39613,0.0
2019-03-22,US1NYWS0008,43.31163,-73.39613,6.6
2019-03-23,US1NYWS0008,43.31163,-73.39613,15.7
2019-03-24,US1NYWS0008,43.31163,-73.39613,0.0
2019-03-25,US1NYWS0008,43.31163,-73.39613,0.0
2019-03-26,US1NYWS0008,43.31163,-73.39613,0.0
2019-03-28,US1NYWS0008,43.31163,-73.39613,0.0
2019-03-29,US1NYWS0008,43.31163,-73.39613,0.0
2019-03-30,US1NYWS0008,43.31163,-73.39613,2.5
2019-03-31,US1NYWS0008,43.31163,-73.39613,0.0
2019-04-01,US1NYWS0008,43.31163,-73.39613,4.8
2019-04-03,US1NYWS0008,43.31163,-73.39613,0.0
2019-04-04,US1NYWS0008,43.31163,-73.39613,0.0
2019-04-05,US1NYWS0008,43.31163,-73.39613,0.0
2019-04-06,US1NYWS0008,43.31163,-73.39613,
2019-04-07,US1NYWS0008,43.31163,-73.39613,0.0
2019-04-08,US1NYWS0008,43.31163,-73.39613,1.5
2019-04-09,US1NYWS0008,43.31163,-73.39613,10.9
2019-04-10,US1NYWS0008,43.31163,-73.39613,5.6
2019-04-22,US1NYWS0008,43.31163,-73.39613,
2019-04-23,US1NYWS0008,43.31163,-73.39613,0.0
2019-04-24,US1NYWS0008,43.31163,-73.39613,14.0
2019-04-25,US1NYWS0008,43.31163,-73.39613,0.0
2019-04-26,US1NYWS0008,43.31163,-73.39613,1.8
2019-04-27,US1NYWS0008,43.31163,-73.39613,29.0
2019-04-28,US1NYWS0008,43.31163,-73.39613,0.5
2019-04-29,US1NYWS0008,43.31163,-73.39613,0.0
2019-04-30,US1NYWS0008,43.31163,-73.39613,0.0
2019-05-02,US1NYWS0008,43.31163,-73.39613,
2019-05-03,US1NYWS0008,43.31163,-73.39613,0.8
2019-05-04,US1NYWS0008,43.31163,-73.39613,13.7
2019-05-05,US1NYWS0008,43.31163,-73.39613,0.0
2019-05-06,US1NYWS0008,43.31163,-73.39613,0.0
2019-05-07,US1NYWS0008,43.31163,-73.39613,0.0
2019-05-08,US1NYWS0008,43.31163,-73.39613,4.6
2019-05-09,US1NYWS0008,43.31163,-73.39613,0.0
2019-05-13,US1NYWS0008,43.31163,-73.39613,
2019-05-14,US1NYWS0008,43.31163,-73.39613,15.7
2019-05-15,US1NYWS0008,43.31163,-73.39613,7.6
2019-05-16,US1NYWS0008,43.31163,-73.39613,0.5
2019-05-17,US1NYWS0008,43.31163,-73.39613,0.0
2019-05-18,US1NYWS0008,43.31163,-73.39613,0.0
2019-05-19,US1NYWS0008,43.31163,-73.39613,0.0
2019-05-20,US1NYWS0008,43.31163,-73.39613,41.9
2019-05-21,US1NYWS0008,43.31163,-73.39613,2.3
2019-05-22,US1NYWS0008,43.31163,-73.39613,0.0
2019-05-24,US1NYWS0008,43.31163,-73.39613,20.3
2019-05-26,US1NYWS0008,43.31163,-73.39613,0.0
2019-05-27,US1NYWS0008,43.31163,-73.39613,0.0
2019-05-28,US1NYWS0008,43.31163,-73.39613,0.0
2019-05-29,US1NYWS0008,43.31163,-73.39613,20.1
2019-05-30,US1NYWS0008,43.31163,-73.39613,0.0
2019-05-31,US1NYWS0008,43.31163,-73.39613,0.0
2019-06-01,US1NYWS0008,43.31163,-73.39613,0.0
2019-06-02,US1NYWS0008,43.31163,-73.39613,2.0
2019-06-04,US1NYWS0008,43.31163,-73.39613,
2019-06-05,US1NYWS0008,43.31163,-73.39613,3.0
2019-06-06,US1NYWS0008,43.31163,-73.39613,16.5
2019-06-07,US1NYWS0008,43.31163,-73.39613,1.0
2019-06-09,US1NYWS0008,43.31163,-73.39613,
2019-06-10,US1NYWS0008,43.31163,-73.39613,0.0
2019-06-11,US1NYWS0008,43.31163,-73.39613,27.2
2019-06-12,US1NYWS0008,43.31163,-73.39613,0.0
2019-06-13,US1NYWS0008,43.31163,-73.39613,0.0
2019-06-14,US1NYWS0008,43.31163,-73.39613,0.0
2019-06-15,US1NYWS0008,43.31163,-73.39613,0.0
2019-06-16,US1NYWS0008,43.31163,-73.39613,0.0
2019-06-17,US1NYWS0008,43.31163,-73.39613,14.0
2019-06-18,US1NYWS0008,43.31163,-73.39613,0.0
