DATE,STATION,LATITUDE,LONGITUDE,EVAP
1967-04-01,USC00287831,40.48333,-74.43333,8.1
1967-04-02,USC00287831,40.48333,-74.43333,2.5
1967-04-03,USC00287831,40.48333,-74.43333,7.1
1967-04-04,USC00287831,40.48333,-74.43333,9.4
1967-04-05,USC00287831,40.48333,-74.43333,3.6
1967-04-06,USC00287831,40.48333,-74.43333,0.5
1967-04-07,USC00287831,40.48333,-74.43333,2.0
1967-04-08,USC00287831,40.48333,-74.43333,0.3
1967-04-09,USC00287831,40.48333,-74.43333,1.3
1967-04-10,USC00287831,40.48333,-74.43333,4.3
1967-04-11,USC00287831,40.48333,-74.43333,1.8
1967-04-12,USC00287831,40.48333,-74.43333,8.4
1967-04-13,USC00287831,40.48333,-74.43333,4.1
1967-04-14,USC00287831,40.48333,-74.43333,2.8
1967-04-15,USC00287831,40.48333,-74.43333,1.8
1967-04-16,USC00287831,40.48333,-74.43333,3.0
1967-04-17,USC00287831,40.48333,-74.43333,4.8
1967-04-18,USC00287831,40.48333,-74.43333,
1967-04-19,USC00287831,40.48333,-74.43333,
1967-04-20,USC00287831,40.48333,-74.43333,2.5
1967-04-21,USC00287831,40.48333,-74.43333,6.1
1967-04-22,USC00287831,40.48333,-74.43333,5.6
1967-04-23,USC00287831,40.48333,-74.43333,7.9
1967-04-24,USC00287831,40.48333,-74.43333,2.5
1967-04-25,USC00287831,40.48333,-74.43333,4.1
1967-04-26,USC00287831,40.48333,-74.43333,5.3
1967-04-27,USC00287831,40.48333,-74.43333,4.3
1967-04-28,USC00287831,40.48333,-74.43333,3.0
1967-04-29,USC00287831,40.48333,-74.43333,
1967-04-30,USC00287831,40.48333,-74.43333,6.9
1967-05-01,USC00287831,40.48333,-74.43333,4.6
1967-05-02,USC00287831,40.48333,-74.43333,7.4
1967-05-03,USC00287831,40.48333,-74.43333,1.5
1967-05-04,USC00287831,40.48333,-74.43333,8.6
1967-05-05,USC00287831,40.48333,-74.43333,5.6
1967-05-06,USC00287831,40.48333,-74.43333,
1967-05-07,USC00287831,40.48333,-74.43333,
1967-05-08,USC00287831,40.48333,-74.43333,
1967-05-09,USC00287831,40.48333,-74.43333,
1967-05-10,USC00287831,40.48333,-74.43333,6.4
1967-05-11,USC00287831,40.48333,-74.43333,4.6
1967-05-12,USC00287831,40.48333,-74.43333,
1967-05-13,USC00287831,40.48333,-74.43333,5.8
1967-05-14,USC00287831,40.48333,-74.43333,8.6
1967-05-15,USC00287831,40.48333,-74.43333,1.8
1967-05-16,USC00287831,40.48333,-74.43333,2.3
1967-05-17,USC00287831,40.48333,-74.43333,6.6
1967-05-18,USC00287831,40.48333,-74.43333,6.9
1967-05-19,USC00287831,40.48333,-74.43333,7.9
1967-05-20,USC00287831,40.48333,-74.43333,
1967-05-21,USC00287831,40.48333,-74.43333,10.4
1967-05-22,USC00287831,40.48333,-74.43333,2.0
1967-05-23,USC00287831,40.48333,-74.43333,3.8
1967-05-24,USC00287831,40.48333,-74.43333,9.1
1967-05-25,USC00287831,40.48333,-74.43333,5.3
1967-05-26,USC00287831,40.48333,-74.43333,2.8
1967-05-27,USC00287831,40.48333,-74.43333,1.3
1967-05-28,USC00287831,40.48333,-74.43333,6.6
1967-05-29,USC00287831,40.48333,-74.43333,6.9
1967-05-30,USC00287831,40.48333,-74.43333,
1967-05-31,USC00287831,40.48333,-74.43333,6.9
1967-06-01,USC00287831,40.48333,-74.43333,5.1
1967-06-02,USC00287831,40.48333,-74.43333,7.4
