DATE,STATION,LATITUDE,LONGITUDE,PRCP
1945-11-01,USW00014774,43.16667,-75.31667,0.0
1945-11-02,USW00014774,43.16667,-75.31667,35.3
1945-11-03,USW00014774,43.16667,-75.31667,5.3
1945-11-04,USW00014774,43.16667,-75.31667,0.0
1945-11-05,USW00014774,43.16667,-75.31667,0.0
1945-11-06,USW00014774,43.16667,-75.31667,0.0
1945-11-07,USW00014774,43.16667,-75.31667,0.0
1945-11-08,USW00014774,43.16667,-75.31667,0.0
1945-11-09,USW00014774,43.16667,-75.31667,0.0
1945-11-10,USW00014774,43.16667,-75.31667,0.0
1945-11-11,USW00014774,43.16667,-75.31667,3.8
1945-11-12,USW00014774,43.16667,-75.31667,10.2
1945-11-13,USW00014774,43.16667,-75.31667,8.9
1945-11-14,USW00014774,43.16667,-75.31667,0.0
1945-11-15,USW00014774,43.16667,-75.31667,0.0
1945-11-16,USW00014774,43.16667,-75.31667,2.5
1945-11-17,USW00014774,43.16667,-75.31667,5.3
1945-11-18,USW00014774,43.16667,-75.31667,3.8
1945-11-19,USW00014774,43.16667,-75.31667,6.4
1945-11-20,USW00014774,43.16667,-75.31667,5.8
1945-11-21,USW00014774,43.16667,-75.31667,0.0
1945-11-22,USW00014774,43.16667,-75.31667,0.0
1945-11-23,USW00014774,43.16667,-75.31667,0.0
1945-11-24,USW00014774,43.16667,-75.31667,0.0
1945-11-25,USW00014774,43.16667,-75.31667,0.3
1945-11-26,USW00014774,43.16667,-75.31667,0.0
1945-11-27,USW00014774,43.16667,-75.31667,0.0
1945-11-28,USW00014774,43.16667,-75.31667,6.1
1945-11-29,USW00014774,43.16667,-75.31667,4.6
1945-11-30,USW00014774,43.16667,-75.31667,1.0
1945-12-01,USW00014774,43.16667,-75.31667,0.0
1945-12-02,USW00014774,43.16667,-75.31667,0.0
1945-12-03,USW00014774,43.16667,-75.31667,2.5
1945-12-04,USW00014774,43.16667,-75.31667,0.0
1945-12-05,USW00014774,43.16667,-75.31667,0.0
1945-12-06,USW00014774,43.16667,-75.31667,0.5
1945-12-07,USW00014774,43.16667,-75.31667,2.3
1945-12-08,USW00014774,43.16667,-75.31667,0.0
1945-12-09,USW00014774,43.16667,-75.31667,0.0
1945-12-10,USW00014774,43.16667,-75.31667,0.0
1945-12-11,USW00014774,43.16667,-75.31667,0.0
1945-12-12,USW00014774,43.16667,-75.31667,0.0
1945-12-13,USW00014774,43.16667,-75.31667,0.0
1945-12-14,USW00014774,43.16667,-75.31667,1.3
1945-12-15,USW00014774,43.16667,-75.31667,0.0
1945-12-16,USW00014774,43.16667,-75.31667,0.0
1945-12-17,USW00014774,43.16667,-75.31667,0.0
1945-12-18,USW00014774,43.16667,-75.31667,0.0
1945-12-19,USW00014774,43.16667,-75.31667,1.5
1945-12-20,USW00014774,43.16667,-75.31667,1.0
1945-12-21,USW00014774,43.16667,-75.31667,1.3
1945-12-22,USW00014774,43.16667,-75.31667,0.0
1945-12-23,USW00014774,43.16667,-75.31667,0.0
1945-12-24,USW00014774,43.16667,-75.31667,0.0
1945-12-25,USW00014774,43.16667,-75.31667,2.5
1945-12-26,USW00014774,43.16667,-75.31667,1.5
1945-12-27,USW00014774,43.16667,-75.31667,0.5
1945-12-28,USW00014774,43.16667,-75.31667,0.0
1945-12-29,USW00014774,43.16667,-75.31667,0.0
1945-12-30,USW00014774,43.16667,-75.31667,0.0
1945-12-31,USW00014774,43.16667,-75.31667,0.5
1946-01-01,USW00014774,43.16667,-75.31667,0.3
1946-01-02,USW00014774,43.16667,-75.31667,0.0
1946-01-03,USW00014774,43.16667,-75.31667,0.0
1946-01-04,USW00014774,43.16667,-75.31667,0.0
1946-01-05,USW00014774,43.16667,-75.31667,0.0
1946-01-06,USW00014774,43.16667,-75.31667,0.5
1946-01-07,USW00014774,43.16667,-75.31667,0.0
1946-01-08,USW00014774,43.16667,-75.31667,0.0
1946-01-09,USW00014774,43.16667,-75.31667,8.6
1946-01-10,USW00014774,43.16667,-75.31667,3.0
1946-01-11,USW00014774,43.16667,-75.31667,0.0
1946-01-12,USW00014774,43.16667,-75.31667,6.4
1946-01-13,USW00014774,43.16667,-75.31667,4.8
1946-01-14,USW00014774,43.16667,-75.31667,0.0
1946-01-15,USW00014774,43.16667,-75.31667,0.0
1946-01-16,USW00014774,43.16667,-75.31667,0.0
1946-01-17,USW00014774,43.16667,-75.31667,0.0
1946-01-18,USW00014774,43.16667,-75.31667,0.0
1946-01-19,USW00014774,43.16667,-75.31667,0.5
1946-01-20,USW00014774,43.16667,-75.31667,0.0
1946-01-21,USW00014774,43.16667,-75.31667,9.7
1946-01-22,USW00014774,43.16667,-75.31667,1.0
1946-01-23,USW00014774,43.16667,-75.31667,0.3
1946-01-24,USW00014774,43.16667,-75.31667,0.0
1946-01-25,USW00014774,43.16667,-75.31667,0.8
1946-01-26,USW00014774,43.16667,-75.31667,1.0
1946-01-27,USW00014774,43.16667,-75.31667,0.0
1946-01-28,USW00014774,43.16667,-75.31667,0.0
1946-01-29,USW00014774,43.16667,-75.31667,2.3
1946-01-30,USW00014774,43.16667,-75.31667,4.1
1946-01-31,USW00014774,43.16667,-75.31667,1.3
1946-02-01,USW00014774,43.16667,-75.31667,0.3
1946-02-02,USW00014774,43.16667,-75.31667,0.0
1946-02-03,USW00014774,43.16667,-75.31667,1.3
1946-02-04,USW00014774,43.16667,-75.31667,0.0
1946-02-05,USW00014774,43.16667,-75.31667,0.0
1946-02-06,USW00014774,43.16667,-75.31667,12.7
1946-02-07,USW00014774,43.16667,-75.31667,6.4
1946-02-08,USW00014774,43.16667,-75.31667,0.0
1946-02-09,USW00014774,43.16667,-75.31667,0.0
1946-02-10,USW00014774,43.16667,-75.31667,0.0
1946-02-11,USW00014774,43.16667,-75.31667,0.0
1946-02-12,USW00014774,43.16667,-75.31667,0.0
1946-02-13,USW00014774,43.16667,-75.31667,8.1
1946-02-14,USW00014774,43.16667,-75.31667,8.4
1946-02-15,USW00014774,43.16667,-75.31667,0.5
1946-02-16,USW00014774,43.16667,-75.31667,0.0
1946-02-17,USW00014774,43.16667,-75.31667,0.0
1946-02-18,USW00014774,43.16667,-75.31667,0.0
1946-02-19,USW00014774,43.16667,-75.31667,2.0
