fid,field_1,station ID,lat,lon
"17","16",US1NYHM0010,43.4549,-74.45287
"22","21",USC00307129,43.6,-73.73306
"41","40",US1NYES0005,43.808639,-73.818869
"47","46",US1NYES0006,43.8335,-73.89775
"60","59",USC00300929,43.05083,-74.19806
"65","64",USC00307568,42.81667,-73.98333
"71","70",US1NYHM0009,43.386954,-74.677238
"77","76",USC00308870,42.7,-73.95
"78","77",US1NYHM0001,43.451331,-74.47115
"79","78",USC00436500,42.79167,-73.22278
"83","82",USC00304271,42.91667,-73.51667
"90","89",USC00307544,43.11667,-73.58333
"96","95",USC00307549,43.1131,-73.5775
"100","99",USC00303831,43.4,-74.53333
"118","117",USC00300785,43.4361,-75.3697
"119","118",USC00302720,43.15,-74.9
"122","121",USC00308036,43.78333,-73.8
"130","129",USW00094794,43.145,-75.38389
"140","139",USC00302941,42.95,-74.283333
"148","147",USC00302953,42.9383,-74.6228
"157","156",USC00307382,43,-74.68333
"163","162",USC00306062,43.1592,-74.2042
"164","163",USC00308240,43.13333,-74.6
"179","178",US1VTBN0014,43.0065,-73.20214
"181","180",USC00304520,44.1,-74
"184","183",US1NYAB0066,42.737857,-74.089385
"186","185",USC00304537,43.2613,-73.8343
"194","193",USC00303416,43.13333,-75.11667
"195","194",USC00430563,42.91667,-73.21667
"196","195",USC00300386,42.933333,-73.85
"198","197",USC00430558,42.85,-73.16667
"200","199",USC00300156,42.91667,-74.21667
"202","201",USC00300159,42.91667,-74.13333
"203","202",US1NYSC0032,42.813476,-73.902739
"204","203",US1NYSC0031,42.824535,-73.887249
"205","204",US1NYSC0030,42.934625,-74.065023
"208","207",US1NYSR0041,42.86472,-73.82484
"209","208",US1NYSR0040,42.888751,-73.754659
"210","209",US1NYSR0046,43.0823,-73.5972
"211","210",USC00300368,43.61667,-74.03333
"212","211",US1NYSC0020,42.788626,-73.966719
"215","214",US1NYSC0029,42.815191,-73.902583
"217","216",US1NYSC0027,42.779114,-73.872421
"218","217",US1NYSC0026,42.81078,-73.89764
"220","219",US1NYSC0025,42.765023,-73.942937
"221","220",US1NYMG0002,42.964282,-74.47564
"222","221",US1NYMG0003,42.8643,-74.7214
"223","222",US1NYSR0039,42.96653,-73.777704
"224","223",US1NYSR0036,42.920604,-73.827841
"225","224",US1NYMG0001,42.929985,-74.62643
"226","225",US1NYMG0005,42.95467,-74.20085
"227","226",US1NYSR0035,42.9776,-73.7375
"228","227",US1NYSR0032,42.9758,-73.7866
"229","228",US1NYSR0033,43.008691,-73.842507
"230","229",USC00303889,43.3,-75.15
"231","230",US1NYSC0011,42.79382,-73.863886
"234","233",US1NYSC0017,42.831642,-74.115236
"235","234",US1NYSC0016,42.846449,-73.899173
"236","235",US1NYSR0027,42.788247,-73.679831
"237","236",US1NYSR0029,42.821268,-73.785458
"239","238",US1NYSR0062,43.150361,-74.117857
"240","239",USC00301436,42.8238,-74.7386
"242","241",US1NYSC0001,42.781735,-74.170769
"245","244",US1NYSC0002,42.844727,-73.974841
"246","245",US1NYSR0059,43.22415,-73.714793
"247","246",US1NYHR0023,43.021594,-74.986639
"248","247",USC00308080,43.5,-74.36167
"249","248",US1NYHR0019,43.045613,-74.850466
"250","249",US1NYSR0057,43.0943718,-73.995285
"251","250",US1NYSR0054,42.84942,-73.78397
"254","253",US1NYHR0010,43.092521,-74.780875
"256","255",US1NYHR0016,43.0088071,-75.0539063
"257","256",US1NYHR0018,43.1626,-74.8088
"258","257",US1NYSR0048,43.0231,-74.033
"259","258",US1NYHR0017,42.926557,-74.870239
"260","259",US1NYHR0012,43.123203,-74.797358
"266","265",US1NYSR0002,43.054,-73.8127
"279","278",USC00303281,43.3,-73.666667
"281","280",USC00306549,42.73333,-73.3
"293","292",USC00303289,43.31667,-73.65
"294","293",USC00305231,42.88333,-73.68333
"295","294",USC00308742,43,-75.26667
"297","296",USC00308733,43.11667,-75.23333
"301","300",USC00307405,43.16667,-73.31667
"305","304",USC00308739,43.08333,-75.2
"309","308",US1NYSR0023,43.131628,-73.737167
"310","309",US1NYSR0022,43.126838684082,-73.8785858154297
"312","311",USC00304102,43.75477,-74.27558
"313","312",USC00304111,43.06667,-74.76667
"316","315",US1NYSR0016,42.99,-73.8
"318","317",US1NYSR0014,43.102514,-73.83969
"319","318",US1NYSR0015,43.008029,-73.803065
"321","320",US1NYSR0013,42.797303,-73.682641
"323","322",US1NYSR0011,43.294403,-74.088053
"335","334",USC00308959,43.55,-73.8
"337","336",US1NYSR0006,43.2003,-73.6755
"339","338",US1NYSR0003,43.096968,-73.906857
