,lat,lon
0,40.77898,-73.96925
1,40.43333,-74.33333
2,44.5079,-73.1152
3,41.46667,-75.18333
4,42.33333,-73.55
5,44.4,-72.18333
6,40.47282,-74.42259
7,42.0772,-74.9827
8,40.73333,-73.65
9,42.7,-73.95
10,43.4361,-75.3697
11,41.9725,-73.2208
12,41.13139,-73.77583
13,42.4333,-73.6833
14,41.8,-72.35
15,40.7436,-74.3539
16,40.48333,-74.43333
17,42.75,-72.73333
18,44.5772,-75.1097
19,42.3861,-72.5374
20,41.10194,-72.37306
21,42.4486,-74.4653
22,41.03333,-75.5
23,41.1184,-75.7277
24,42.4697,-73.9267
25,40.85,-73.91667
