station ID,lat,lon,area km2
US1NYHM0010,43.4549000000,-74.4528700000,138.641
USC00307129,43.6000000000,-73.7330600000,70.555
US1NYES0005,43.8086390000,-73.8188690000,53.159
US1NYES0006,43.8335000000,-73.8977500000,296.634
USC00300929,43.0508300000,-74.1980600000,99.775
USC00307568,42.8166700000,-73.9833300000,30.910
US1NYHM0009,43.3869540000,-74.6772380000,236.649
USC00308870,42.7000000000,-73.9500000000,112.224
US1NYHM0001,43.4513310000,-74.4711500000,39.771
USC00436500,42.7916700000,-73.2227800000,80.752
USC00304271,42.9166700000,-73.5166700000,51.469
USC00307544,43.1166700000,-73.5833300000,50.565
USC00307549,43.1131000000,-73.5775000000,26.522
USC00303831,43.4000000000,-74.5333300000,136.162
USC00300785,43.4361000000,-75.3697000000,158.003
USC00302720,43.1500000000,-74.9000000000,41.391
USC00308036,43.7833300000,-73.8000000000,83.180
USW00094794,43.1450000000,-75.3838900000,207.796
USC00302941,42.9500000000,-74.2833330000,40.895
USC00302953,42.9383000000,-74.6228000000,28.635
USC00307382,43.0000000000,-74.6833300000,82.848
USC00306062,43.1592000000,-74.2042000000,136.795
USC00308240,43.1333300000,-74.6000000000,139.788
US1VTBN0014,43.0065000000,-73.2021400000,59.881
USC00304520,44.1000000000,-74.0000000000,183.241
US1NYAB0066,42.7378570000,-74.0893850000,281.570
USC00304537,43.2613000000,-73.8343000000,67.138
USC00303416,43.1333300000,-75.1166700000,118.314
USC00430563,42.9166700000,-73.2166700000,27.687
USC00300386,42.9333330000,-73.8500000000,61.297
USC00430558,42.8500000000,-73.1666700000,136.733
USC00300156,42.9166700000,-74.2166700000,66.207
USC00300159,42.9166700000,-74.1333300000,64.681
US1NYSC0032,42.8134760000,-73.9027390000,1.076
US1NYSC0031,42.8245350000,-73.8872490000,11.807
US1NYSC0030,42.9346250000,-74.0650230000,97.366
US1NYSR0041,42.8647200000,-73.8248400000,33.602
US1NYSR0040,42.8887510000,-73.7546590000,37.304
US1NYSR0046,43.0823000000,-73.5972000000,98.869
USC00300368,43.6166700000,-74.0333300000,568.784
US1NYSC0020,42.7886260000,-73.9667190000,10.579
US1NYSC0029,42.8151910000,-73.9025830000,1.971
US1NYSC0027,42.7791140000,-73.8724210000,28.330
US1NYSC0026,42.8107800000,-73.8976400000,4.512
US1NYSC0025,42.7650230000,-73.9429370000,10.499
US1NYMG0002,42.9642820000,-74.4756400000,104.126
US1NYMG0003,42.8643000000,-74.7214000000,91.549
US1NYSR0039,42.9665300000,-73.7777040000,8.469
US1NYSR0036,42.9206040000,-73.8278410000,18.168
US1NYMG0001,42.9299850000,-74.6264300000,37.120
US1NYMG0005,42.9546700000,-74.2008500000,55.481
US1NYSR0035,42.9776000000,-73.7375000000,93.527
US1NYSR0032,42.9758000000,-73.7866000000,8.340
US1NYSR0033,43.0086910000,-73.8425070000,34.214
USC00303889,43.3000000000,-75.1500000000,190.168
US1NYSC0011,42.7938200000,-73.8638860000,21.853
US1NYSC0017,42.8316420000,-74.1152360000,68.854
US1NYSC0016,42.8464490000,-73.8991730000,37.710
US1NYSR0027,42.7882470000,-73.6798310000,7.197
US1NYSR0029,42.8212680000,-73.7854580000,36.799
US1NYSR0062,43.1503610000,-74.1178570000,109.555
USC00301436,42.8238000000,-74.7386000000,21.658
US1NYSC0001,42.7817350000,-74.1707690000,27.143
US1NYSC0002,42.8447270000,-73.9748410000,73.032
US1NYSR0059,43.2241500000,-73.7147930000,23.023
US1NYHR0023,43.0215940000,-74.9866390000,75.854
USC00308080,43.5000000000,-74.3616700000,461.801
US1NYHR0019,43.0456130000,-74.8504660000,23.072
US1NYSR0057,43.0943718000,-73.9952850000,59.050
US1NYSR0054,42.8494200000,-73.7839700000,21.289
US1NYHR0010,43.0925210000,-74.7808750000,18.184
US1NYHR0016,43.0088071000,-75.0539063000,46.244
US1NYHR0018,43.1626000000,-74.8088000000,124.240
US1NYSR0048,43.0231000000,-74.0330000000,73.510
US1NYHR0017,42.9265570000,-74.8702390000,93.844
US1NYHR0012,43.1232030000,-74.7973580000,37.596
US1NYSR0002,43.0540000000,-73.8127000000,11.926
USC00303281,43.3000000000,-73.6666670000,3.828
USC00306549,42.7333300000,-73.3000000000,76.912
USC00303289,43.3166700000,-73.6500000000,10.893
USC00305231,42.8833300000,-73.6833300000,67.951
USC00308742,43.0000000000,-75.2666700000,61.449
USC00308733,43.1166700000,-75.2333300000,34.001
USC00307405,43.1666700000,-73.3166700000,169.502
USC00308739,43.0833300000,-75.2000000000,51.616
US1NYSR0023,43.1316280000,-73.7371670000,84.282
US1NYSR0022,43.1268386840,-73.8785858150,74.576
USC00304102,43.7547700000,-74.2755800000,729.188
USC00304111,43.0666700000,-74.7666700000,31.417
US1NYSR0016,42.9900000000,-73.8000000000,11.281
US1NYSR0014,43.1025140000,-73.8396900000,11.762
US1NYSR0015,43.0080290000,-73.8030650000,14.882
US1NYSR0013,42.7973030000,-73.6826410000,34.046
US1NYSR0011,43.2944030000,-74.0880530000,302.817
USC00308959,43.5500000000,-73.8000000000,82.527
US1NYSR0006,43.2003000000,-73.6755000000,32.157
US1NYSR0003,43.0969680000,-73.9068570000,39.199
US1NYSR0004,43.0603200000,-73.7800870000,50.200
US1NYSR0007,43.0437790000,-73.9299610000,16.312
US1NYSR0008,42.9455000000,-73.7869000000,11.831
USC00301068,42.9361000000,-73.4325700000,103.951
USC00303010,43.0666700000,-75.1166700000,74.363
USC00303452,43.1166700000,-73.8333300000,38.129
US1NYRN0003,42.8779530000,-73.5355230000,53.651
USC00304791,43.0603000000,-74.8686000000,38.063
US1NYRN0005,42.7730290000,-73.6374350000,22.109
US1NYRN0004,42.8962000000,-73.3538430000,76.205
USW00054768,42.6972900000,-73.1696000000,254.861
USC00307818,43.3519000000,-73.4962000000,40.915
US1VTBN0005,43.1638790000,-73.0357270000,43.560
US1VTBN0006,42.9624100000,-73.2336310000,15.720
USW00054781,42.8935000000,-73.2487500000,58.955
USC00303468,43.1166670000,-73.5000000000,132.358
US1VTBN0004,43.0625659000,-73.1577350000,103.679
USC00302137,43.0833300000,-74.7666700000,26.146
USC00304796,43.0333300000,-74.8666700000,27.545
US1VTBN0007,43.1727480000,-73.0181120000,72.015
US1VTBN0008,43.0055600000,-73.2474340000,93.078
USC00301052,42.8000000000,-74.2666700000,136.420
US1NYRN0013,42.7903500000,-73.5622600000,41.867
US1NYRN0015,42.7355850000,-73.6625240000,8.160
US1VTBN0012,42.8200000000,-73.0200000000,81.593
USC00301291,42.9333300000,-75.1166700000,44.030
US1VTBN0013,42.9371400000,-73.2438900000,28.424
US1VTBN0010,42.9453800000,-73.2124400000,46.016
USC00307480,43.1000000000,-73.8333300000,12.742
USC00307484,43.0413000000,-73.8212600000,14.143
USC00308586,42.9464000000,-74.2886000000,84.646
USC00308104,43.2333300000,-73.7500000000,30.849
USC00308578,43.2761000000,-75.1566000000,44.918
USC00301708,43.3203000000,-73.9256000000,208.023
USW00004782,42.8333300000,-73.9166700000,15.155
US1NYWS0010,43.1439670000,-73.3078560000,122.652
US1NYWS0008,43.3116300000,-73.3961300000,132.094
USC00304182,43.0166700000,-74.9166700000,60.577
USC00303299,43.2833300000,-73.6666700000,35.529
USC00307664,42.7833300000,-74.6666700000,95.063
USC00307413,43.1666700000,-74.8666700000,47.114
USC00307659,42.8000000000,-74.6000000000,147.714
USC00305255,43.0500000000,-73.9000000000,27.597
USC00305489,43.3833330000,-74.7333330000,320.978
USC00305248,42.8502300000,-73.6093900000,44.121
USW00014735,42.7472200000,-73.7991300000,33.135
USC00304801,43.0166700000,-74.7833300000,78.488
USC00301771,43.2500000000,-73.8333330000,65.636
US1NYOD0007,43.2362700000,-75.2858400000,30.750
