variable,clay_fraction,clay_fraction,clay_fraction,climate_KG,climate_KG,climate_KG,climate_insitu,climate_insitu,climate_insitu,elevation,elevation,elevation,instrument,instrument,instrument,latitude,latitude,latitude,lc_2000,lc_2000,lc_2000,lc_2005,lc_2005,lc_2005,lc_2010,lc_2010,lc_2010,lc_insitu,lc_insitu,lc_insitu,longitude,longitude,longitude,network,network,network,organic_carbon,organic_carbon,organic_carbon,sand_fraction,sand_fraction,sand_fraction,saturation,saturation,saturation,silt_fraction,silt_fraction,silt_fraction,station,station,station,timerange_from,timerange_from,timerange_from,timerange_to,timerange_to,timerange_to,variable,variable,variable,file_path,file_type
key,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,val,val
0,0.0,0.3,5.0,,,Dfb,,,unknown,,,742.188,0.0508,0.0508,Hydraprobe-Analog-(2.5-Volt)-A,,,43.05,,,70,,,70,,,70,,,unknown,,,-73.033,,,SCAN,0.0,0.3,2.08,0.0,0.3,85.0,0.0,0.3,0.49,0.0,0.3,10.0,,,LyeBrook,,,2002-01-01 05:00:00,,,2015-10-28 19:00:00,0.0508,0.0508,soil_moisture,SCAN/LyeBrook/SCAN_SCAN_LyeBrook_sm_0.050800_0.050800_Hydraprobe-Analog-(2.5-Volt)-A_19540106_20210628.stm,header_values
1,0.0,0.3,5.0,,,Dfb,,,unknown,,,742.188,0.0508,0.0508,Hydraprobe-Analog-(2.5-Volt)-B,,,43.05,,,70,,,70,,,70,,,unknown,,,-73.033,,,SCAN,0.0,0.3,2.08,0.0,0.3,85.0,0.0,0.3,0.49,0.0,0.3,10.0,,,LyeBrook,,,2002-09-19 21:00:00,,,2015-10-28 19:00:00,0.0508,0.0508,soil_moisture,SCAN/LyeBrook/SCAN_SCAN_LyeBrook_sm_0.050800_0.050800_Hydraprobe-Analog-(2.5-Volt)-B_19540106_20210628.stm,header_values
2,0.0,0.3,5.0,,,Dfb,,,unknown,,,742.188,0.0508,0.0508,Hydraprobe-Analog-(2.5-Volt),,,43.05,,,70,,,70,,,70,,,unknown,,,-73.033,,,SCAN,0.0,0.3,2.08,0.0,0.3,85.0,0.0,0.3,0.49,0.0,0.3,10.0,,,LyeBrook,,,2000-09-15 18:00:00,,,2002-01-01 04:00:00,0.0508,0.0508,soil_moisture,SCAN/LyeBrook/SCAN_SCAN_LyeBrook_sm_0.050800_0.050800_Hydraprobe-Analog-(2.5-Volt)_19540106_20210628.stm,header_values
3,0.0,0.3,5.0,,,Dfb,,,unknown,,,742.188,0.0508,0.0508,Hydraprobe-Digital-Sdi-12-(2.5-Volt)-A,,,43.05,,,70,,,70,,,70,,,unknown,,,-73.033,,,SCAN,0.0,0.3,2.08,0.0,0.3,85.0,0.0,0.3,0.49,0.0,0.3,10.0,,,LyeBrook,,,2015-10-28 06:00:00,,,2021-06-28 23:00:00,0.0508,0.0508,soil_moisture,SCAN/LyeBrook/SCAN_SCAN_LyeBrook_sm_0.050800_0.050800_Hydraprobe-Digital-Sdi-12-(2.5-Volt)-A_19540106_20210628.stm,header_values
4,0.0,0.3,5.0,,,Dfb,,,unknown,,,742.188,0.0508,0.0508,Hydraprobe-Digital-Sdi-12-(2.5-Volt)-B,,,43.05,,,70,,,70,,,70,,,unknown,,,-73.033,,,SCAN,0.0,0.3,2.08,0.0,0.3,85.0,0.0,0.3,0.49,0.0,0.3,10.0,,,LyeBrook,,,2015-10-29 06:00:00,,,2021-06-28 23:00:00,0.0508,0.0508,soil_moisture,SCAN/LyeBrook/SCAN_SCAN_LyeBrook_sm_0.050800_0.050800_Hydraprobe-Digital-Sdi-12-(2.5-Volt)-B_19540106_20210628.stm,header_values
5,0.0,0.3,5.0,,,Dfb,,,unknown,,,742.188,0.1016,0.1016,Hydraprobe-Analog-(2.5-Volt)-A,,,43.05,,,70,,,70,,,70,,,unknown,,,-73.033,,,SCAN,0.0,0.3,2.08,0.0,0.3,85.0,0.0,0.3,0.49,0.0,0.3,10.0,,,LyeBrook,,,2002-01-01 05:00:00,,,2015-10-28 19:00:00,0.1016,0.1016,soil_moisture,SCAN/LyeBrook/SCAN_SCAN_LyeBrook_sm_0.101600_0.101600_Hydraprobe-Analog-(2.5-Volt)-A_19540106_20210628.stm,header_values
6,0.0,0.3,5.0,,,Dfb,,,unknown,,,742.188,0.1016,0.1016,Hydraprobe-Analog-(2.5-Volt)-B,,,43.05,,,70,,,70,,,70,,,unknown,,,-73.033,,,SCAN,0.0,0.3,2.08,0.0,0.3,85.0,0.0,0.3,0.49,0.0,0.3,10.0,,,LyeBrook,,,2002-09-19 21:00:00,,,2015-10-28 19:00:00,0.1016,0.1016,soil_moisture,SCAN/LyeBrook/SCAN_SCAN_LyeBrook_sm_0.101600_0.101600_Hydraprobe-Analog-(2.5-Volt)-B_19540106_20210628.stm,header_values
7,0.0,0.3,5.0,,,Dfb,,,unknown,,,742.188,0.1016,0.1016,Hydraprobe-Analog-(2.5-Volt),,,43.05,,,70,,,70,,,70,,,unknown,,,-73.033,,,SCAN,0.0,0.3,2.08,0.0,0.3,85.0,0.0,0.3,0.49,0.0,0.3,10.0,,,LyeBrook,,,2000-09-15 18:00:00,,,2002-01-01 04:00:00,0.1016,0.1016,soil_moisture,SCAN/LyeBrook/SCAN_SCAN_LyeBrook_sm_0.101600_0.101600_Hydraprobe-Analog-(2.5-Volt)_19540106_20210628.stm,header_values
8,0.0,0.3,5.0,,,Dfb,,,unknown,,,742.188,0.1016,0.1016,Hydraprobe-Digital-Sdi-12-(2.5-Volt)-A,,,43.05,,,70,,,70,,,70,,,unknown,,,-73.033,,,SCAN,0.0,0.3,2.08,0.0,0.3,85.0,0.0,0.3,0.49,0.0,0.3,10.0,,,LyeBrook,,,2015-10-29 04:00:00,,,2021-06-28 23:00:00,0.1016,0.1016,soil_moisture,SCAN/LyeBrook/SCAN_SCAN_LyeBrook_sm_0.101600_0.101600_Hydraprobe-Digital-Sdi-12-(2.5-Volt)-A_19540106_20210628.stm,header_values
9,0.0,0.3,5.0,,,Dfb,,,unknown,,,742.188,0.1016,0.1016,Hydraprobe-Digital-Sdi-12-(2.5-Volt)-B,,,43.05,,,70,,,70,,,70,,,unknown,,,-73.033,,,SCAN,0.0,0.3,2.08,0.0,0.3,85.0,0.0,0.3,0.49,0.0,0.3,10.0,,,LyeBrook,,,2015-10-28 06:00:00,,,2021-06-28 23:00:00,0.1016,0.1016,soil_moisture,SCAN/LyeBrook/SCAN_SCAN_LyeBrook_sm_0.101600_0.101600_Hydraprobe-Digital-Sdi-12-(2.5-Volt)-B_19540106_20210628.stm,header_values
