DATE,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,TMAX,TMIN
1979-03-01,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,13.9,-0.6
1979-03-02,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,9.4,3.9
1979-03-03,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,7.8,1.7
1979-03-04,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,5.0,2.2
1979-03-05,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,15.0,5.0
1979-03-06,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,12.2,7.8
1979-03-07,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,8.9,2.2
1979-03-08,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,11.1,1.1
1979-03-09,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,13.3,0.0
1979-03-10,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,11.1,4.4
1979-03-11,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,7.2,-4.4
1979-03-12,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,5.0,-5.6
1979-03-13,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,9.4,-3.3
1979-03-14,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,18.3,3.9
1979-03-15,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,3.9,-6.7
1979-03-16,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,4.4,-7.8
1979-03-17,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,11.1,-1.7
1979-03-18,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,12.2,-2.8
1979-03-19,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,12.8,-2.8
1979-03-20,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,16.1,0.6
1979-03-21,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,18.3,3.3
1979-03-22,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,22.8,1.7
1979-03-23,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,21.1,4.4
1979-03-24,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,16.1,7.8
1979-03-25,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,16.7,5.6
1979-03-26,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,10.6,0.6
1979-03-27,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,9.4,-1.7
1979-03-28,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,10.6,-3.3
1979-03-29,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,17.2,3.3
1979-03-30,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,23.3,10.0
1979-03-31,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,24.4,6.7
1979-04-01,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,18.9,7.2
1979-04-02,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,7.2,4.4
1979-04-03,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,12.2,5.0
1979-04-04,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,6.7,1.7
1979-04-05,USC00284931,"LODI, NJ US",40.86667,-74.08333,15.2,12.8,2.8
