fid,field_1,station ID,lat,lon
"7","6",USC00307480,43.1,
"13","12",USC00307484,43.0413,
"36","35",USC00308586,42.9464,
"41","40",USC00308104,43.23333,
"45","44",USC00308578,43.2761,
"52","51",USC00301708,43.3203,
"53","52",USW00004782,42.83333,
"62","61",USC00309516,42.3031,
"71","70",USC00305291,42.6,
"108","107",USC00300929,43.05083,
"128","127",USC00436500,42.79167,
"131","130",USC00307664,42.78333,
"136","135",USC00307413,43.16667,
"139","138",USC00307659,42.8,
"145","144",USC00190049,42.65,
"151","150",USC00305489,43.383333,
"152","151",USC00305248,42.85023,
"165","164",USW00014735,42.74722,
"166","165",USC00304801,43.01667,
"171","170",USC00307088,42.633333,
"212","211",USC00300785,43.4361,
"214","213",USC00302720,43.15,
"220","219",USC00308036,43.78333,
"225","224",USW00014750,43.33849,
"229","228",USW00014749,42.96667,
"239","238",USW00094794,43.145,
"242","241",USC00303941,43.1,
"253","252",USC00303916,43.38333,
"263","262",USC00309100,42.616667,
"266","265",USW00014774,43.16667,
"274","273",USR0000NSAR,43.0078,
"282","281",USC00307291,42.9239,
"283","282",USC00302953,42.9383,
"300","299",USC00307382,43,
"308","307",USC00308597,42.733333,
"320","319",USR0000NSCH,43.8,
"323","322",USC00306062,43.1592,
"345","344",USC00303319,43.04917,
"354","353",USC00304520,44.1,
"367","366",USC00303324,43.1,
"368","367",USC00301144,42.91667,
"372","371",USC00303322,43.115,
"382","381",USC00306839,42.32806,
"387","386",USC00303416,43.13333,
"388","387",USC00430563,42.91667,
"392","391",USC00301595,42.66717,
"393","392",USC00300386,42.933333,
"394","393",USC00301593,42.68333,
"399","398",USC00305711,43.96667,
"404","403",USC00430558,42.85,
"408","407",USC00438160,43.0908,
"410","409",USC00300156,42.91667,
"412","411",USC00300159,42.91667,
"435","434",USC00300242,43.25,
"456","455",USC00303889,43.3,
"458","457",USC00301589,42.66667,
"475","474",USC00301436,42.8238,
"476","475",USC00302888,42.96667,
"483","482",USC00303970,43.31167,
"493","492",USC00308080,43.5,
"509","508",USW00014717,43.23333,
"522","521",USC00305580,43.2,
"528","527",USC00307520,42.665,
"534","533",USC00308600,42.7511,
"538","537",USC00307514,42.8,
"550","549",USC00308742,43,
"551","550",USC00307532,44.01667,
"552","551",USC00308733,43.11667,
"556","555",USC00307524,43.83333,
"559","558",USC00307405,43.16667,
"560","559",USC00308739,43.08333,
"567","566",USC00434882,43.16667,
"568","567",USC00302047,43.2735,
"570","569",USC00304102,43.75477,
"588","587",USC00199731,42.716667,
"590","589",USC00199730,42.71556,
"608","607",USW00064775,43.22417,
"625","624",USC00306623,43.4614,
"630","629",USC00431786,43.22417,
"634","633",USC00301068,42.9361,
"636","635",USC00304575,42.4486,
"656","655",USC00302366,42.23432,
"658","657",USC00303452,43.11667,
"659","658",USC00304791,43.0603,
"661","660",USW00054768,42.69729,
"670","669",USW00054781,42.8935,
"672","671",USC00303468,43.116667,
"673","672",USC00302137,43.08333,
"678","677",USC00304796,43.03333,
"687","686",USC00305769,43.2,
