,ID,Begin Date,End Date
0,131199050,2007-01-25,2010-05-09
1,1312000,1925-10-01,2023-03-21
2,1315000,1912-07-01,2023-03-21
3,1315170,2016-09-30,2022-12-30
4,1315226,2016-09-30,2023-02-20
5,1315227,2016-09-30,2023-03-21
6,1315500,1907-09-21,2023-03-21
7,1318500,1921-07-15,2023-03-21
8,1327500,1960-10-01,2023-03-21
9,1327750,1899-01-01,2023-03-20
10,1328770,2014-09-04,2022-10-06
11,1329490,1922-10-01,2023-03-21
12,1329500,1922-10-01,2003-09-29
13,1330000,1948-04-04,2023-03-21
14,1330500,1927-07-30,1995-03-31
15,1334500,1910-08-13,2023-03-21
16,1335754,1887-10-01,2023-03-21
17,1335755,1946-02-21,2023-03-21
18,1358000,2002-10-19,2009-03-30
19,1359133,2018-12-21,2023-03-21
20,1359135,1979-05-15,2023-03-21
21,1359528,1957-10-01,1995-03-31
22,1359750,1990-10-01,2023-03-21
23,1360640,1906-04-01,2023-03-21
24,1361000,1960-03-31,1995-04-30
25,1361200,2011-03-01,2015-03-30
26,1362090,2001-10-01,2009-06-29
27,1362192,2016-10-12,2023-03-22
28,136219503,1998-09-30,2023-03-21
29,13621955,1963-10-01,2023-03-21
30,1362200,1996-12-18,2023-03-21
31,1362230,2021-10-23,2023-03-21
32,1362297,2003-08-01,2023-03-21
33,136230002,2016-11-14,2023-03-22
34,1362322,2016-11-15,2023-03-22
35,1362336,1997-10-01,2023-03-21
36,1362342,2012-05-29,2023-03-21
37,1362357,2016-12-15,2023-03-22
38,1362368,1997-02-01,2023-03-21
39,1362370,1997-02-01,2007-08-06
40,1362380,2000-07-27,2010-09-29
41,1362465,2010-09-30,2023-03-21
42,1362487,1997-10-01,2023-03-21
43,1362497,1931-10-01,2023-03-21
44,1362500,2000-08-11,2023-03-21
45,1363382,2013-11-08,2023-03-21
46,1363556,1907-04-04,2023-03-21
47,1364500,1993-03-26,1995-09-30
48,1372051,1928-08-07,2023-03-21
49,1372500,1995-10-01,2023-03-21
50,137449480,1994-03-31,2023-03-21
51,1374505,1994-06-01,2023-03-21
52,1374531,1995-10-01,2023-03-21
53,1374559,2001-10-31,2023-03-21
54,1374581,1996-08-16,2023-03-21
55,1374598,1994-03-29,2023-03-21
56,137462010,1995-12-09,2013-03-31
57,1374654,1994-01-25,2023-03-21
58,1374701,2006-12-08,2023-03-21
59,1374781,1994-03-23,2023-03-21
60,1374821,1995-12-08,2023-03-21
61,1374890,1994-03-17,2023-03-21
62,1374901,1999-06-10,2009-06-29
63,1374918,1995-10-01,2023-03-21
64,1374930,1994-03-23,2023-03-21
65,1374941,1995-12-08,2005-09-29
66,1374976,1995-10-21,2009-06-29
67,1374987,1999-06-11,2009-06-29
68,137499350,1933-07-29,2023-03-21
